doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",,,,,,240
 Groups of parallel reinforcing bars bundled in contact to act as a unit shall be limited to four in any one bundle. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.6.1,,,,,241
 Bundled bars shall be enclosed within stirrups or ties. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.6.2,,,,,242
 Bars larger than No. 11 shall not be bundled in beams. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.6.3,,,,,243
 Individual bars within a bundle terminated within the span of flexural members shall terminate at different points with at least40db stagger. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.6.4,,,,,244
 Where spacing limitations and minimum concrete cover are based on bar diameter db. a unit of bundled bars shall be treated as a single bar of a diameter derived from the equivalenttotal area. 7.6.7- Prestressing tendons and ducts ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.6.5,,,,,245
" Clear distance between pretensioning tendons at each end ofa membershall not be less than4db for wire, nor 3db for strands. See also 3.3.2 Closer vertical spacing and bundling of strands may be permitted in the middle portion ofa span. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.7.1,,,,,246
" Post-tensioning ducts may be bundled if shown that concrete can be satisfactorily placed andif provision is madetoprevent thetendons, when tensioned, from breaking through the duct. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,"7.6.5  In walls and slabs other than concrete joist construction, primary flexural reinforcement shall not be spaced fartherapartthan three timesthewallorslabthickness, nor18 in. 7.6.6 -Bundled bars",7.6.7.2,,,,,247
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,,,,,,,248
"-Cast-in-place concrete (nonprestressed) Thefollowing minimum concrete cover shall be provided for reinforcement: Minimum cover, in. a) Concrete cast against and permanentlyexposed to earth .....3 b) Concrete exposed to earth or weather: No. 6through No. 18 bar ··············2 No. 5bar,W31 orD31 wire, and smaller c) Concrete not exposed to weather or in contact with ground: Slabs,walls, Joists: No. 14 and No. 18 bars 11/ No. 11 bar and smaller Beams, columns: Primary reinforcement, ties,stirrups, spirals. 1% Shells, folded plate members: No. 6 barand larger No. 5 bar, W31 orD31 wire, and smaller. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.1,,,,,,249
"-Precast concrete (manufactured under plant control conditions) The following minimum concrete cover shall be provided for reinforcement: Minimum cover, in. a) Concreteexposed to earth or weather: Wall panels: No. 14 and No. 18 bars 11/2 No. 11 bar and smaller 3/4 Other members: No. 14 and No. 18 bars 2 No. 6 through No. 11 bars 1/ No. 5 bar, W31 or D31 wire, and smaller.............11/4 b) Concrete not exposed to weatheror in contact with ground: Slabs, walls, joists: No. 14 and No. 18 bars 1% No. 11 bar and smaller 518 Beams, columns: Primary reinforcement. do but not less than5/8 and need not exceed 1% Ties,stirrups, spirals. 3/8 Shells, folded plate members: No. 6 bar and larger 518 No. 5 bar, W31 or D31 wire, and smaller 3/8 CapyrightAmerican ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.2,,,,,,250
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.3 -Prestressed concrete,,,,,,251
" The following minimum concrete cover shall be provided for prestressed and nonprestressed reinforcement, ducts, and end fittings, except as provided in 7.7.3.2 and 7.7.3.3: Minimum cover, in. a) Concretecastagainst and permanently exposed to earth. 3 b) Concrete exposed to earth or weather: Wall panels, slabs, joists. Other members. .1% c) Concrete not exposed to weather or in contact with ground: Slabs, walls,joists 314 Beams, columns: Primary reinforcement.. Ties, stimups,spirals. Shells, folded plate members: No. 5bar, W31 or D31 wire, and smaller. 318 Other reinforcement .db but not less than3/4 ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.3 -Prestressed concrete,7.7.3.1,,,,,252
" For prestressed concrete members exposed to earth, weather, or corrosiveenvironments, and which permissible tensile stress of 18.4.2(b) is exceeded, minimum cover shall be increased50 percent. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.3 -Prestressed concrete,7.7.3.2,,,,,253
" For prestressed concrete membersmanufactured under plant control conditions, minimum concrete cover for nonprestressed reinforcement shall be as required in Section7.7.2. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.3 -Prestressed concrete,7.7.3.3,,,,,254
"-Bundled bars For bundled bars, minimum concrete cover shall be equal to the equivalent diameter of the bundle, but need not be greater than 2 in.; except for concrete cast against and permanently exposed to earth, minimum cover shall be 3 in. 7.7.5 Corrosive environments In corrosive environments or other severe exposure conditions, amountofconcrete protection shall be suitably increased, and denseness and nonporosity of protecting concrete shall be considered, or other protection shall be provided. 7.7.6-Future extensions Exposed reinforcement, inserts, and plates intended for bonding with future extensions shall be protected from corrosion. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.7 -Concrete protection for reinforcement,7.7.4,,,,,,255
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,,,,,,,256
 Slope of inclined portion of an offset bar with axis of column shall notexceed 1in6. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.1.1,,,,,,257
 Portions of bar above and below an offset shall be parallel to axisof column. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.1.2,,,,,,258
" Horizontal support at offset bends shall be provided by lateral ties, spirals, or parts of the floor construction. Horizontal support provided shall be designed to resist 11timesthe horizontal componentofthecomputed forcein the inclined portion ofan offset bar. Lateral tiesorspirals,if used, shall beplacednot more than6in. frompointsofbend. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.1.3,,,,,,259
 Offset bars shall be bent before placementin the forms. See 7.3. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.1.4,,,,,,260
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,"7.8.1.5  Where a column face is offset 3 in. or greater, longitudinal bars shall notbe offset bent. Separate dowels, lap spliced with the longitudinal bars adjacent to the offset column faces, shall beprovided. Lapsplices shallconform to 12.17.",,,,,,261
 Steel cores Load transfer in structural steel cores of composite compression members shall be provided by the following: ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,"7.8.1.5  Where a column face is offset 3 in. or greater, longitudinal bars shall notbe offset bent. Separate dowels, lap spliced with the longitudinal bars adjacent to the offset column faces, shall beprovided. Lapsplices shallconform to 12.17.",7.8.2,,,,,262
" Endsofstructural steel cores shallbe accurately finished to bear atend bearing splices, with positive provision for alignment of one core above the other in concentric contact. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.2.1,,,,,,263
" At end bearing splices, bearing shall be consideredeffectivetotransfernotmore than50 percent ofthetotal compressivestress in the steel core. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.2.2,,,,,,264
 Transferofstress between column baseand footing shall be designed in accordance with 15.8. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.2.3,,,,,,265
" Baseof structural steel section shall be designed to transfer the total load from the entire composite member to the footing; or, the base may be designed to transfer the load from the steel core only, provided ample concrete section is available for transfer of the portion of the total load carried by the reinforced concrete section to the footing by compression in the concrete and by reinforcement. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.8  Special reinforcementdetails for columns 7.8.1- Offsetbars Offset bent longitudinal barsshall conformtothefollowing:,7.8.2.4,,,,,,266
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.9  Connections,,,,,,,267
" Atconnectionsofprincipal framing elements (such as beams and columns), enclosure shall be provided for splicesofcontinuingreinforcementand forendanchorageof reinforcementterminating in such connections. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.9  Connections,7.9.1,,,,,,268
" Enclosure at connections may consist of external concrete or internal closed ties,spirals, or stirrups. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.9  Connections,7.9.2,,,,,,269
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.10 -Lateral reinforcement for compression members,,,,,,,270
" Lateral reinforcement for compression members shall conform to the provisions of 7.10.4 and 7.10.5 and, where shear or torsion reinforcement is required, shall also conform 10 provisions ofChapter 11. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.10 -Lateral reinforcement for compression members,7.10.1,,,,,,271
 Lateral reinforcement requirements for composite compression members shall conform to 10.14. Lateral reinforcement requirements for prestressing tendons shall conform to 18.11. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.10 -Lateral reinforcement for compression members,7.10.2,,,,,,272
" Lateral reinforcement requirements of7.10, 10.14, and 18.11 may be waived where testsand structural analysis show adequate strength and feasibility ofconstruction. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.10 -Lateral reinforcement for compression members,7.10.3,,,,,,273
